feature,score
A_68,15
amount_of_bill_left_std,15
repay_substg_max_max_all,15
stg4_amount_of_bill_left_max_t5,15
stg10_repay_sub_min,15
amount_per_nstg_max_max_all,15
repay_sub_now_pre_amount_of_bill_0_min,15
stg3_examount_0_mean,15
pre_amount_of_bill_amount_of_bill_left_0_max,15
repay_sub_pre_repayment_0_max,15
browseSubBehavior_7,15
consume_amount_mean,15
stg10_time_max,15
A_18,15
repay_sub_median,15
pre_amount_of_bill_amount_of_bill_left_2_min,15
stg3_amount_per_n_mean_t5_all,15
examount0_min_lt,15
A_177,15
A_172,15
credit_amount_amount_of_bill_left_1_min,15
skewnesslastRefundminRefundRate,15
stg2_amount_per_n_mean_t5_all,15
creditTimeSpan,15
stg7_pre_amount_of_bill_std,15
pre_amount_of_bill_repay_sub_2_max,14
meancreditlimitUseGapLast,14
stg5_pre_repayment_max_t5,14
pre_amount_of_bill_amount_of_bill_left_1_max,14
stg8_repay_sub_mean,14
consume_amount_repay_sub_2_min,14
stg2_examount0_var,14
repay_sub_max_all,14
stg4_credit_amount_mean_t5_all,14
stg5_amount_of_bill_left_min_t5_all,14
A_36,14
stg5_browse_count_max,14
pre_repayment_amount_of_bill_left_1_min,14
mincreditlimitUseGap,14
A_127,14
stg4_repay_sub_var_t5,14
stg3_amount_of_bill_left_mean_t5_all,14
repay_sub_pre_amount_of_bill_2_max,14
stg3_time_min,14
A_99,14
stg4_browse_count_median,14
A_48,14
stg5_amount_per_n_min_t5,14
credit_amount_repay_sub_1_min,14
consume_amount_pre_repayment_1_min,14
stg9_pre_amount_of_bill_min,14
maxlastRefundGap,14
amount_per_nstg_max_mean_all,14
stg3_amount_of_bill_left_min_t5_all,14
stg7_time_mean,14
A_64,14
repay_sub_pre_repayment_1_min,14
stg2_browse_count_max,14
kurtosiscashLimRate,14
amount_of_bill_left_repay_sub_2_max,14
repay_sub_now_pre_repayment_2_min,14
stg1_pre_amount_of_bill_max_t5_all,14
A_291,14
repay_sub_repay_sub_now_2_min,14
meancashLimRate,14
repay_sub_now_repay_sub_0_min,14
stg2_amount_of_bill_left_std,14
stg3_examount_1_mean,14
stg7_time_max,14
stg3_pre_amount_of_bill_mean_t5_all,14
stg2_amount_of_bill_left_min,14
amount_per_nstg_max_max_min_all,14
stg5_pre_repayment_max_min_t5_all,14
repay_sub_repay_sub_now_1_min,14
stg1_amount_per_n_mean_t5,14
stg5_amount_of_bill_left_std_t5,14
stg4_pre_repayment_mean_t5_all,14
A_33,14
stg10_repay_sub_now_max,14
stg2_amount_of_bill_left_max_t5_all,14
credit_amount_repay_sub_now_1_max,14
stg2_amount_of_bill_left_max_t5,14
pre_amount_of_bill_repay_sub_now_1_min,14
A_155,14
pre_amount_of_bill_pre_repayment_1_max,13
stg5_examount1_mean,13
A_132,13
A_88,13
Z_2289,13
examount0_median_gt,13
kurtosisLastRefundRate,13
A_98,13
Z_35,13
repay_sub_now_amount_of_bill_left_2_max,13
stg3_repay_sub_max_t5,13
A_106,13
maxcreditlimitUseGapLast,13
A_41,13
repay_sub_pre_amount_of_bill_1_max,13
browser_data_var,13
A_54,13
stg7_examount_0_max,13
stg1_browse_count_median,13
stg1_repay_sub_now_std,13
stg4_browser_data_std,13
stg3_browse_count_median,13
stg3_amount_of_bill_left_max_min_t5_all,13
A_16,13
A_246,13
browse_count_count_lt,13
A_25,13
stg1_pre_repayment_mean_t5_all,13
stg1_repay_sub_now_mean,13
meanLastRefundRate,13
stg5_repay_sub_max_t5,13
pre_repayment_repay_sub_2_min,13
stg4_amount_per_n_mean_t5_all,13
A_178,13
A_32,13
repay_sub_now_amount_of_bill_left_2_min,13
minCreditlimitUseRate,13
stg1_repay_sub_mean,13
consume_amount_repay_sub_0_max,13
stg3_repay_sub_mean_t5_all,13
stg4_amount_per_n_var_t5,13
stg2_pre_amount_of_bill_max_t5_all,13
stg2_browse_count_min,13
stg7_examount_a_min,13
consume_amount_pre_amount_of_bill_2_max,12
stg5_pre_repayment_mean_t5,12
stg1_pre_amount_of_bill_std_t5,12
stg2_examount1_std,12
repay_sub_pre_repayment_0_min,12
stg2_examount_1_mean,12
pre_amount_of_bill_max_min_all,12
bf1SB1CC,12
stg4_pre_amount_of_bill_max,12
stg3_browse_count_min,12
stg1_repay_sub_mean_t5_all,12
stg3_examount1_mean,12
stg2_amount_of_bill_left_mean_t5,12
pre_repaymentstg_max_max_all,12
A_120,12
A_121,12
A_124,12
A_83,12
amount_of_bill_left_median,12
stg1_amount_of_bill_left_std_t5,12
A_117,12
A_94,12
amount_of_bill_leftstg_max_mean_all,12
consume_amount_amount_of_bill_left_1_min,12
amount_of_bill_left_pre_amount_of_bill_0_max,12
stg5_examount_a_cnt,12
stg5_pre_repayment_max,12
A_252,12
stg5_pre_amount_of_bill_mean_t5,12
A_45,12
stg4_amount_of_bill_left_max_t5_all,12
stg1_browse_count_var,12
A_51,12
stg1_browse_count_mean,12
browse_count_max_lt,12
varlastRefundminRefundRate,12
stg3_browse_count_std,12
A_62,12
amount_of_bill_left_pre_repayment_1_min,12
stg3_amount_of_bill_left_min_t5,12
avgConsumAmount,12
stg4_consume_amount_mean_t5_all,12
bank7limit,12
A_71,12
consume_amount_pre_amount_of_bill_1_max,12
stg3_browser_data_mean,12
stg3_consume_amount_std_t5,12
stg1_pre_amount_of_bill_var_t5,12
stg2_repay_sub_mean_t5_all,12
pre_amount_of_bill_amount_of_bill_left_1_min,12
amount_per_n_max_all,12
A_17,12
stg2_pre_repayment_mean_t5_all,12
browser_data_mean,12
stg1_examount_0_cnt,12
A_26,12
stg4_examount1_min,12
stg4_examount_1_mean,12
pre_repayment_repay_sub_now_2_min,12
stg2_credit_amount_mean_t5,12
stg3_pre_amount_of_bill_min,12
browser_data_median,12
stg3_amount_per_n_std_t5,12
A_39,12
repay_sub_now_max,12
stg4_amount_per_n_max_t5_all,12
amount_per_n_max_min_all,12
varLastRefundRate,12
credit_amount_amount_of_bill_left_2_max,12
repay_sub_now_repay_sub_now_1_max,12
stg2_amount_of_bill_left_max_min_t5_all,12
stg5_amount_per_n_std_t5,12
stg1_amount_of_bill_left_max_t5_all,12
repay_sub_repay_sub_2_min,12
stg2_browse_count_median,11
stg5_credit_amount_mean_t5_all,11
pre_repayment_amount_of_bill_left_2_min,11
meanlastRefundGap,11
skewnesscreditlimitUseGapLast,11
examount_0_gt_max_mean,11
A_137,11
stg7_time_min,11
stg4_repay_sub_max_min_t5_all,11
bank10limit,11
A_122,11
stg5_repay_sub_max_min_t5_all,11
A_241,11
A_97,11
A_170,11
Z_34,11
stg1_pre_repayment_var_t5,11
pre_repayment_repay_sub_now_1_min,11
A_102,11
pre_amount_of_billstg_max_max_all,11
amount_of_bill_left_amount_of_bill_left_1_min,11
stg1_consume_amount_mean_t5_all,11
log_cnt,11
repay_sub_amount_of_bill_left_2_max,11
stg1_examount1_std,11
repay_sub_repay_sub_2_max,11
A_59,11
stg3_repay_sub_max_min_t5,11
stg1_repay_sub_max_min_t5_all,11
A_61,11
stg4_examount0_max,11
repay_sub_now_repay_sub_now_1_min,11
stg1_amount_per_n_max_min_t5_all,11
consume_amount_pre_repayment_0_max,11
amount_of_bill_left_max_min_all,11
stg10_pre_amount_of_bill_mean,11
A_281,11
amount_of_bill_leftstg_max_max_min_all,11
A_73,11
A_351,11
stg6_pre_repayment_min,11
maxcashLimRate,11
A_56,11
browseSubBehavior_1,11
stg4_examount1_mean,11
meanCreditlimitUseRateLast,11
stg1_browser_data_max,11
amount_of_bill_left_amount_of_bill_left_1_max,11
consume_amount_amount_of_bill_left_2_max,11
stg5_amount_per_n_max_t5_all,11
repay_sub_now_repay_sub_1_min,11
credit_amount_pre_repayment_2_max,11
A_366,11
stg4_pre_repayment_max_t5_all,11
A_135,11
stg1_amount_per_n_mean_t5_all,11
stg1_amount_of_bill_left_mean,11
pre_amount_of_bill_credit_amount_2_min,11
stg1_examount0_std,11
A_225,11
stg1_examount0_max_min,11
examount_0_gt_min_mean,11
stg1_amount_of_bill_left_mean_t5,11
credit_amount_pre_repayment_0_max,11
stg3_examount1_cnt,11
A_332,10
browseSubBehavior_10,10
stg4_amount_per_n_max_min_t5_all,10
stg10_pre_amount_of_bill_min,10
credit_amount_mean_all,10
stg5_credit_amount_std,10
stg4_time_max,10
A_147,10
browse_count_max_gt,10
examount1_mean_gt,10
stg10_time_min,10
stg3_amount_per_n_max_min_t5_all,10
credit_amount_repay_sub_now_0_min,10
stg5_examount0_var,10
repay_sub_now_pre_repayment_2_max,10
mean_overdraft_last_adjust,10
credit_amount_amount_of_bill_left_0_max,10
stg3_credit_amount_mean_t5,10
stg10_examount_a_mean,10
A_111,10
stg4_browse_count_std,10
