feature,score
放款后信用卡额度mean,305
用户放款前循环利息,305
29,305
放款后账单还款差额与放款前账单还款差额差值,305
放款后账单最大值还款差额(去重)与放款前账单最大值还款差额(去重)差值,303
放款后本期账单金额mean与放款前本期账单金额mean差值,303
放款后信用卡额度sum与放款后本期账单余额sum差值与放款前信用卡额度sum与放款前本期账单余额sum差值差值,303
放款前该用户账单金额最大值汇总(去重),302
放款后上期还款金额max与放款前上期还款金额max差值,301
放款后上期还款金额median,300
放款后本期账单最低还款额max与放款后循环利息max之和,300
放款后本期账单余额median,300
放款后上期账单金额var,299
放款后本期账单最低还款额median与放款后循环利息median之和与放款前本期账单最低还款额median与放款前循环利息median之和差值,299
放款后本期账单金额median与放款前本期账单金额median差值,298
放款后上期还款金额var与放款后上期账单金额var差值与放款前上期还款金额var与放款前上期账单金额var差值差值,298
去重后放款后上期还款金额median与去重后放款前上期还款金额median差值,297
放款后本期账单最低还款额median,297
放款前上期还款金额min,295
放款后本期账单余额sum,294
放款后上期账单金额max与放款前上期账单金额max差值,293
放款后本期账单最低还款额mean与放款后循环利息mean之和与放款前本期账单最低还款额mean与放款前循环利息mean之和差值,291
放款后本期账单金额var,290
去重后放款后上期还款金额sum与放款后上期账单金额sum差值与去重后放款前上期还款金额sum与放款前上期账单金额sum差值差值,289
放款前消费笔数max,289
放款后本期账单最低还款额min与放款后循环利息min之和,288
去重后放款前上期还款金额sum,287
去重后放款后上期还款金额max与放款后上期账单金额max差值,287
去重后放款后信用卡额度mean与放款后本期账单余额mean差值,286
放款后本期账单最低还款额mean与放款前本期账单最低还款额mean差值,285
放款后信用卡额度min与放款后本期账单余额min差值与放款前信用卡额度min与放款前本期账单余额min差值差值,284
放款后本期账单最低还款额sum与放款后循环利息sum之和,282
去重后放款前上期还款金额min,281
放款后上期还款金额mean与放款前上期还款金额mean差值,281
放款前该用户账单还款金额汇总(去重),280
放款后本期账单金额var与放款前本期账单金额var差值,280
放款后上期账单金额max,279
放款后本期账单金额mean,279
去重后放款后本期账单金额median,279
放款后信用卡额度mean与放款后本期账单余额mean差值与放款前信用卡额度mean与放款前本期账单余额mean差值差值,278
去重后放款后本期账单金额mean与去重后放款前本期账单金额mean差值,278
去重后放款后上期还款金额var,278
去重后放款后本期账单最低还款额median与放款后循环利息median之和,277
去重后放款前预借现金额度median,277
放款后本期账单最低还款额var与放款后循环利息var之和,277
放款前预借现金额度median,272
去重后放款后本期账单最低还款额sum,271
去重后放款后本期账单最低还款额mean与放款后循环利息mean之和与去重后放款前本期账单最低还款额mean与放款前循环利息mean之和差值,269
去重后放款后本期账单最低还款额var,269
去重后放款后本期账单最低还款额min与放款后循环利息min之和,269
放款后本期账单金额sum,269
放款后上期还款金额var与放款前上期还款金额var差值,268
去重后放款后本期账单最低还款额min与去重后放款前本期账单最低还款额min差值,267
放款后本期账单最低还款额mean与放款后循环利息mean之和,266
放款后本期账单余额mean与放款前本期账单余额mean差值,266
去重后放款后本期账单余额sum,265
去重后放款后本期账单最低还款额mean与去重后放款前本期账单最低还款额mean差值,264
去重后放款后本期账单最低还款额sum与放款后循环利息sum之和,263
去重后放款前上期账单金额max,263
放款后账单金额统计,263
放款前循环利息mean,262
去重后放款后本期账单余额mean,259
放款后账单汇总还款差额(去重)与放款前账单汇总还款差额(去重)差值,259
去重后放款后本期账单最低还款额mean,258
放款前信用卡额度min,257
放款后本期账单最低还款额sum,256
去重后放款后上期账单金额median与去重后放款前上期账单金额median差值,255
去重后放款后信用卡额度sum,255
去重后放款后本期账单最低还款额min与放款后循环利息min之和与去重后放款前本期账单最低还款额min与放款前循环利息min之和差值,255
放款后还款金额统计,255
去重后放款后本期账单金额var,254
去重后放款后信用卡额度median与去重后放款前信用卡额度median差值,252
放款后本期账单金额min,252
去重后放款后上期还款金额mean与去重后放款前上期还款金额mean差值,251
去重后放款后信用卡额度mean与放款后本期账单余额mean差值与去重后放款前信用卡额度mean与放款前本期账单余额mean差值差值,249
用户放款前循环利息(去重),248
放款后信用卡额度sum,247
去重后放款后上期还款金额min与放款后上期账单金额min差值,246
去重后放款后本期账单金额max与去重后放款前本期账单金额max差值,246
去重后放款后本期账单金额var与去重后放款前本期账单金额var差值,246
去重后放款后信用卡额度min与放款后本期账单余额min差值与去重后放款前信用卡额度min与放款前本期账单余额min差值差值,246
放款后上期还款金额min与放款后上期账单金额min差值与放款前上期还款金额min与放款前上期账单金额min差值差值,244
放款后上期账单金额mean,242
放款后上期账单金额min,242
用户持卡数,241
去重后放款后上期还款金额mean,240
放款后该用户账单还款金额最大值汇总(去重),239
去重后放款后本期账单金额mean,239
242,239
去重后放款后本期账单余额median,237
x2,237
去重后放款后本期账单最低还款额max,236
放款后信用卡额度var,236
去重后放款后本期账单余额mean与去重后放款前本期账单余额mean差值,235
放款后该用户账单金额最大值汇总(去重),233
放款后上期账单金额min与放款前上期账单金额min差值,231
去重后放款后上期还款金额median,231
放款后本期账单最低还款额min与放款前本期账单最低还款额min差值,230
放款后本期账单最低还款额var与放款前本期账单最低还款额var差值,230
去重后放款后本期账单最低还款额mean与放款后循环利息mean之和,230
去重后放款后本期账单最低还款额var与放款后循环利息var之和,229
用户放款后信用卡额度最大值,228
去重后放款后上期账单金额mean,228
去重后放款后上期还款金额sum,227
放款前消费笔数median,227
放款前调整金额sum,227
放款后上期账单金额mean与放款前上期账单金额mean差值,227
放款后消费笔数mean与放款前消费笔数mean差值,227
去重后放款后上期还款金额max与放款后上期账单金额max差值与去重后放款前上期还款金额max与放款前上期账单金额max差值差值,225
放款后上期还款金额sum与放款后上期账单金额sum差值,224
放款后浏览子行为编号_3,224
去重后放款后本期账单最低还款额median,224
去重后放款后本期账单最低还款额max与去重后放款前本期账单最低还款额max差值,222
去重后放款后上期还款金额var与放款后上期账单金额var差值与去重后放款前上期还款金额var与放款前上期账单金额var差值差值,221
放款后浏览行为数据max,220
放款后信用卡额度mean与放款前信用卡额度mean差值,220
放款前用户工资收入总计,220
11,218
放款后消费笔数var与放款前消费笔数var差值,218
去重后放款后信用卡额度mean与去重后放款前信用卡额度mean差值,217
放款后本期账单余额min与放款前本期账单余额min差值,217
x3,215
放款后上期账单金额median,214
去重后放款后上期还款金额var与去重后放款前上期还款金额var差值,214
去重后放款后本期账单余额min与去重后放款前本期账单余额min差值,213
去重后放款后预借现金额度sum,213
去重后放款前循环利息sum,211
放款后本期账单最低还款额var与放款后循环利息var之和与放款前本期账单最低还款额var与放款前循环利息var之和差值,207
去重后放款后上期账单金额mean与去重后放款前上期账单金额mean差值,206
用户放款后信用卡额度最大值与用户放款前信用卡额度最大值差值,205
放款后本期账单最低还款额min与放款后循环利息min之和与放款前本期账单最低还款额min与放款前循环利息min之和差值,204
放款前循环利息sum,204
放款后可用余额mean与放款后预借现金额度mean差值与放款前可用余额mean与放款前预借现金额度mean差值差值,203
去重后放款后本期账单金额sum,203
去重后放款后消费笔数var与去重后放款前消费笔数var差值,203
3,202
放款后预借现金额度sum,202
放款后信用卡额度median,201
放款后用户支出总计,201
放款后上期还款金额min,199
放款后信用卡额度max,197
去重后放款前循环利息mean,197
去重后放款后本期账单余额max,195
放款后消费笔数mean,195
58,195
放款后消费笔数var,194
去重后放款前可用余额median与放款前预借现金额度median差值,193
去重后放款前信用卡额度min,193
去重后放款后信用卡额度max与放款后本期账单余额max差值与去重后放款前信用卡额度max与放款前本期账单余额max差值差值,192
去重后放款后本期账单金额min与去重后放款前本期账单金额min差值,192
去重后放款后上期账单金额var,192
放款后浏览子行为编号计数（去重）,192
去重后放款前预借现金额度max,191
去重后放款后消费笔数mean,191
去重后放款后本期账单余额max与去重后放款前本期账单余额max差值,191
放款后预借现金额度mean与放款前预借现金额度mean差值,191
放款前可用余额mean,190
放款后上期账单金额var与放款前上期账单金额var差值,189
去重后放款后信用卡额度mean,189
去重后放款后上期账单金额median,188
去重后放款后上期账单金额min,187
去重后放款前信用卡额度max,187
去重后放款后上期还款金额min与放款后上期账单金额min差值与去重后放款前上期还款金额min与放款前上期账单金额min差值差值,186
去重后放款后消费笔数mean与去重后放款前消费笔数mean差值,184
去重后放款后信用卡额度median,183
放款前可用余额median与放款前预借现金额度median差值,182
去重后放款后可用余额mean与放款后预借现金额度mean差值与去重后放款前可用余额mean与放款前预借现金额度mean差值差值,180
放款后信用卡额度median与放款前信用卡额度median差值,178
去重后放款后可用余额sum与放款后预借现金额度sum差值与去重后放款前可用余额sum与放款前预借现金额度sum差值差值,176
去重后放款后本期账单最低还款额var与去重后放款前本期账单最低还款额var差值,176
去重后放款后本期账单金额min,175
放款后预借现金额度var与放款前预借现金额度var差值,175
去重后放款后上期账单金额var与去重后放款前上期账单金额var差值,174
去重后放款后本期账单最低还款额var与放款后循环利息var之和与去重后放款前本期账单最低还款额var与放款前循环利息var之和差值,174
放款后预借现金额度var,174
去重后放款后预借现金额度var与去重后放款前预借现金额度var差值,174
放款后本期账单金额min与放款前本期账单金额min差值,174
放款后信用卡额度var与放款前信用卡额度var差值,173
去重后放款后上期账单金额min与去重后放款前上期账单金额min差值,173
去重后放款前消费笔数median,172
261,171
放款后信用卡额度var与放款后本期账单余额var差值与放款前信用卡额度var与放款前本期账单余额var差值差值,170
放款后用户收入总计,168
238,168
去重后放款后消费笔数var,167
去重后放款后本期账单最低还款额max与放款后循环利息max之和与去重后放款前本期账单最低还款额max与放款前循环利息max之和差值,167
去重后放款后信用卡额度var与去重后放款前信用卡额度var差值,166
13,165
放款前上期账单金额count,165
放款后还款金额为零与放款前还款金额为零差值,165
去重后放款后信用卡额度var,164
放款前可用余额max,164
51,163
2,163
放款前用户非工资收入笔数,163
219,162
72,162
放款前可用余额sum,161
15,161
去重后放款后上期还款金额min,161
老段子特征x,161
放款后可用余额var与放款后预借现金额度var差值与放款前可用余额var与放款前预借现金额度var差值差值,160
放款后上期还款金额sum与放款后上期账单金额sum差值与放款前上期还款金额sum与放款前上期账单金额sum差值差值,160
236,159
22,158
放款后该用户账单金额汇总(去重),157
放款后该用户账单还款金额汇总(去重),157
x1,157
去重后放款后上期还款金额min与去重后放款前上期还款金额min差值,155
用户浏览行为缺失统计,155
66,155
去重后放款后可用余额sum与放款后预借现金额度sum差值,155
57,155
放款前上期还款金额sum,155
放款前上期账单金额sum,154
放款后账单金额为零,154
放款后用户支出笔数,153
6,152
放款前该用户账单数(去重),152
去重后放款后预借现金额度mean与去重后放款前预借现金额度mean差值,151
去重后放款后本期账单金额max,150
放款后可用余额max与放款后预借现金额度max差值与放款前可用余额max与放款前预借现金额度max差值差值,149
67,149
去重后放款后上期还款金额max,149
放款后可用余额sum与放款后预借现金额度sum差值,149
放款前调整金额var,147
老段子特征2,146
放款后可用余额max与放款后预借现金额度max差值,146
去重后放款后上期还款金额max与去重后放款前上期还款金额max差值,145
136,144
去重后放款后上期账单金额sum,143
去重后放款后本期账单余额var与去重后放款前本期账单余额var差值,143
放款前调整金额mean,142
60,142
227,142
138,141
去重后放款后可用余额var与放款后预借现金额度var差值与去重后放款前可用余额var与放款前预借现金额度var差值差值,141
